gu,Date,offense,Count
BARANGAY 32-D,2020-02-01,COMPUTER FRAUD,1
SALUMAY,2020-02-01,DISTURBANCE,2
BARANGAY 32-D,2020-02-01,ILLEGAL DRUGS,2
PAMPANGA,2020-02-01,THEFT,6
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2020-02-01,THREATS,7
DALIAO,2020-02-01,IDENTITY THEFT,1
PAQUIBATO (POB.),2020-02-01,THEFT,6
BARANGAY 38-D (OB.),2020-02-01,HACKING,1
BAGANIHAN,2020-02-01,ILLEGAL GAMBLING,4
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2020-02-01,MURDER,5
DALIAO,2020-02-01,ILLEGAL DRUGS,6
TAPAK,2020-02-01,ILLEGAL GAMBLING,7
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2020-02-01,ILLEGAL DRUGS,2
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2020-02-01,MURDER,3
NEW VALENCIA,2020-02-01,CYBER LIBEL,2
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",2020-02-01,CYBER LIBEL,2
PANACAN,2020-02-01,MURDER,7
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2020-02-01,ILLEGAL DRUGS,6
SASA,2020-02-01,RAPE,3
MABUHAY,2020-02-01,CYBER LIBEL,4
LIZADA,2020-02-01,ONLINE SCAM,2
BARANGAY 14-B,2020-02-01,ONLINE SCAM,3
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2020-02-01,HACKING,2
"TALANDANG (BRGY IS NOW UNDER PS 20, DCPO)",2020-02-01,DATA BREACH,1
76-A (BUCANA),2020-02-01,THREATS,7
SALAPAWAN,2020-02-01,MURDER,2
GUMITAN,2020-02-01,ILLEGAL POSSESSION OF FIREARM,3
PAMPANGA,2020-02-01,HACKING,1
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",2020-02-01,UNAUTHORIZED ACCESS,2
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2020-02-01,RAPE,2
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2020-02-01,RAPE,2
"MANDUG (BRGY UNDER PS 13, DCPO)",2020-02-01,THEFT,6
BANTOL,2020-02-01,MURDER,7
MAGSAYSAY,2020-02-01,ILLEGAL GAMBLING,2
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2020-02-01,ILLEGAL GAMBLING,3
MARAPANGI,2020-02-01,VANDALISM,5
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-02-01,ILLEGAL DRUGS,7
BAGANIHAN,2020-02-01,IDENTITY THEFT,3
SALAPAWAN,2020-02-01,DISTURBANCE,6
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2020-02-01,IDENTITY THEFT,3
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2020-02-01,UNAUTHORIZED ACCESS,2
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",2020-02-01,THREATS,3
BARANGAY 17-B,2020-02-01,PHYSICAL INJURY,7
GUMITAN,2020-02-01,UNAUTHORIZED ACCESS,4
BARANGAY 18-B,2020-02-01,CYBER LIBEL,1
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2020-02-01,ILLEGAL DRUGS,6
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",2020-02-01,ILLEGAL POSSESSION OF FIREARM,2
BANTOL,2020-02-01,DRUNK DRIVING,6
MATINA PANGI,2020-02-01,HACKING,4
BAGO OSHIRO,2020-02-01,RAPE,2
BARANGAY 14-B,2020-02-01,UNAUTHORIZED ACCESS,2
MAGSAYSAY,2020-02-01,HACKING,1
SAN ISIDRO,2020-02-01,PHYSICAL INJURY,5
BARANGAY 14-B,2020-02-01,PHYSICAL INJURY,7
BARANGAY 5-A (POB.),2020-02-01,ILLEGAL GAMBLING,2
TIGATTO,2020-02-01,THEFT,4
WANGAN,2020-02-01,ILLEGAL DRUGS,7
MABUHAY,2020-02-01,DISTURBANCE,3
DALIAO,2020-02-01,UNAUTHORIZED ACCESS,1
BINUGAO,2020-02-01,UNAUTHORIZED ACCESS,2
MALAGOS,2020-02-01,MURDER,5
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",2020-02-01,COMPUTER FRAUD,3
BARANGAY 5-A (POB.),2020-02-01,ROBBERY,3
76-A (BUCANA),2020-02-01,DATA BREACH,4
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2020-02-01,COMPUTER FRAUD,3
TUNGKALAN,2020-02-01,COMPUTER FRAUD,2
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2020-02-01,RAPE,7
GUMALANG,2020-02-01,COMPUTER FRAUD,4
EDEN,2020-02-01,MURDER,4
SALUMAY,2020-02-01,DRUNK DRIVING,2
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2020-02-01,DISTURBANCE,5
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2020-03-01,ILLEGAL GAMBLING,4
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-03-01,THEFT,4
TACUNAN,2020-03-01,ONLINE SCAM,1
BAGO OSHIRO,2020-03-01,ROBBERY,4
PANACAN,2020-03-01,PHYSICAL INJURY,5
BANTOL,2020-03-01,PHYSICAL INJURY,3
RIVERSIDE,2020-03-01,IDENTITY THEFT,2
CAWAYAN,2020-03-01,ROBBERY,4
40-D BOLTON ISLA,2020-03-01,DISTURBANCE,5
ULA,2020-03-01,ILLEGAL POSSESSION OF FIREARM,4
BARANGAY 13-B,2020-03-01,DRUNK DRIVING,6
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",2020-03-01,CYBER LIBEL,2
BARANGAY 17-B,2020-03-01,IDENTITY THEFT,2
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2020-03-01,VANDALISM,4
PAQUIBATO (POB.),2020-03-01,IDENTITY THEFT,1
SANTO NINO,2020-03-01,THREATS,6
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2020-03-01,UNAUTHORIZED ACCESS,1
EDEN,2020-03-01,DRUNK DRIVING,3
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-03-01,ONLINE SCAM,4
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2020-03-01,COMPUTER FRAUD,4
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2020-03-01,IDENTITY THEFT,3
76-A (BUCANA),2020-03-01,COMPUTER FRAUD,4
"MATINA APLAYA (BRGY UNDER PS 15, DCPO)",2020-03-01,ILLEGAL GAMBLING,7
BAGUIO PROPER,2020-03-01,THEFT,4
BARANGAY 3-A (POB.),2020-03-01,DRUNK DRIVING,6
SUAWAN (TULI),2020-03-01,PHYSICAL INJURY,3
BARANGAY 2-A (POB.),2020-03-01,COMPUTER FRAUD,2
SAN ISIDRO,2020-03-01,RAPE,5
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2020-03-01,RAPE,7
BARANGAY 27-C,2020-03-01,RAPE,7
BAO JOAQUIN,2020-03-01,CYBER LIBEL,2
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2020-03-01,ILLEGAL GAMBLING,5
SALAYSAY,2020-03-01,UNAUTHORIZED ACCESS,1
MALABOG,2020-03-01,VANDALISM,6
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2020-03-01,ILLEGAL DRUGS,5
TALOMO (POB.),2020-03-01,THEFT,5
SALAPAWAN,2020-03-01,THEFT,6
MAHAYAG,2020-03-01,VANDALISM,5
BARANGAY 3-A (POB.),2020-03-01,HACKING,1
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2020-03-01,DRUNK DRIVING,3
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2020-03-01,COMPUTER FRAUD,1
CABANTIAN,2020-03-01,ROBBERY,6
TIGATTO,2020-03-01,ROBBERY,2
CAWAYAN,2020-03-01,IDENTITY THEFT,1
BAGUIO PROPER,2020-03-01,MURDER,5
MARILOG,2020-03-01,THEFT,6
ULA,2020-03-01,VANDALISM,5
TALOMO (POB.),2020-03-01,HACKING,4
BARANGAY 38-D (OB.),2020-03-01,ONLINE SCAM,4
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2020-03-01,ROBBERY,2
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2020-03-01,IDENTITY THEFT,4
BARANGAY 28-C,2020-03-01,COMPUTER FRAUD,3
BARANGAY 37-D,2020-03-01,IDENTITY THEFT,3
BARANGAY 27-C,2020-03-01,HACKING,1
WINES,2020-03-01,RAPE,5
RIVERSIDE,2020-03-01,UNAUTHORIZED ACCESS,3
TACUNAN,2020-03-01,THREATS,5
SIRIB,2020-03-01,IDENTITY THEFT,1
TUNGKALAN,2020-03-01,ILLEGAL POSSESSION OF FIREARM,5
BAGO OSHIRO,2020-03-01,DATA BREACH,4
TAMAYONG,2020-03-01,ILLEGAL POSSESSION OF FIREARM,6
"ANGALAN (BRGY IS NOW UNDER PS 20, DCPO)",2020-03-01,CYBER LIBEL,1
FATIMA (BENOWANG),2020-03-01,ILLEGAL POSSESSION OF FIREARM,7
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",2020-03-01,DATA BREACH,4
BUHANGIN (POB.),2020-03-01,DATA BREACH,1
BANTOL,2020-03-01,MURDER,6
BARANGAY 18-B,2020-03-01,IDENTITY THEFT,2
SUAWAN (TULI),2020-03-01,ILLEGAL GAMBLING,5
BAYABAS,2020-03-01,THREATS,4
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2020-03-01,DRUNK DRIVING,6
TIGATTO,2020-03-01,UNAUTHORIZED ACCESS,4
BANTOL,2020-03-01,COMPUTER FRAUD,4
TIBUNGCO,2020-03-01,IDENTITY THEFT,4
TIBUNGCO,2020-03-01,DISTURBANCE,7
MAHAYAG,2020-03-01,DATA BREACH,1
BARANGAY 13-B,2020-03-01,VANDALISM,3
BARANGAY 11-A,2020-03-01,ONLINE SCAM,3
BARANGAY 39-D (POB.),2020-03-01,CYBER LIBEL,3
MABUHAY,2020-03-01,RAPE,2
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2020-03-01,ILLEGAL DRUGS,2
"DUMOY (BRGY IS NOW UNDER PS 17, DCPO)",2020-03-01,ROBBERY,5
BAGUIO PROPER,2020-03-01,MURDER,5
BARANGAY 14-B,2020-04-01,VANDALISM,6
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2020-04-01,CYBER LIBEL,4
LUBOGAN,2020-04-01,UNAUTHORIZED ACCESS,1
74-A (MATINA CROSSING),2020-04-01,THEFT,2
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2020-04-01,ONLINE SCAM,4
FATIMA (BENOWANG),2020-04-01,COMPUTER FRAUD,2
EDEN,2020-04-01,UNAUTHORIZED ACCESS,3
MATINA PANGI,2020-04-01,DISTURBANCE,7
LAMANAN,2020-04-01,MURDER,2
PANACAN,2020-04-01,ILLEGAL DRUGS,2
SALAYSAY,2020-04-01,COMPUTER FRAUD,1
TIBUNGCO,2020-04-01,COMPUTER FRAUD,1
SANTO NINO,2020-04-01,CYBER LIBEL,1
LACSON,2020-04-01,MURDER,6
GUMITAN,2020-04-01,MURDER,5
BARANGAY 27-C,2020-04-01,DRUNK DRIVING,7
MAHAYAG,2020-04-01,ILLEGAL POSSESSION OF FIREARM,6
BANGKAS HEIGHTS,2020-04-01,THEFT,7
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2020-04-01,ONLINE SCAM,1
"TAGURANO (BRGY IS NOW UNDER PS 19, DCPO)",2020-04-01,ILLEGAL GAMBLING,3
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2020-04-01,THEFT,7
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2020-04-01,ROBBERY,3
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2020-04-01,DISTURBANCE,2
PANACAN,2020-04-01,ONLINE SCAM,3
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2020-04-01,IDENTITY THEFT,4
GUMALANG,2020-04-01,DISTURBANCE,7
MARILOG,2020-04-01,ILLEGAL DRUGS,7
PANALUM,2020-04-01,UNAUTHORIZED ACCESS,1
CAWAYAN,2020-04-01,DISTURBANCE,6
TIBUNGCO,2020-04-01,ILLEGAL DRUGS,7
SALOY,2020-04-01,DISTURBANCE,6
"BARANGAY 20-B (BRGY IS NOW UNDER PS 18, DCPO)",2020-04-01,THEFT,6
"MATINA CROSSING (BRGY IS NOW UNDER PS 15, DCPO)",2020-04-01,ILLEGAL DRUGS,7
PANALUM,2020-04-01,DRUNK DRIVING,4
BAO JOAQUIN,2020-04-01,HACKING,1
PAQUIBATO (POB.),2020-04-01,DATA BREACH,2
TAMUGAN,2020-04-01,DATA BREACH,1
SIRIB,2020-04-01,ILLEGAL GAMBLING,2
SALAYSAY,2020-04-01,MURDER,2
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-04-01,VANDALISM,6
BARANGAY 37-D,2020-04-01,UNAUTHORIZED ACCESS,3
SAN ISIDRO,2020-04-01,THEFT,5
BUHANGIN (POB.),2020-04-01,COMPUTER FRAUD,3
"LAPU-LAPU(BRGY IS NOW UNDER PS 18, DCPO)",2020-04-01,ONLINE SCAM,3
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2020-04-01,ILLEGAL DRUGS,5
"BARANGAY 9-A (POB.) (BRGY UNDER PS 14, DCPO)",2020-04-01,DATA BREACH,1
BARANGAY 11-A,2020-04-01,IDENTITY THEFT,4
ULA,2020-04-01,THEFT,4
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2020-04-01,MURDER,2
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2020-04-01,CYBER LIBEL,4
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2020-04-01,UNAUTHORIZED ACCESS,3
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",2020-04-01,THEFT,2
COMMUNAL,2020-04-01,CYBER LIBEL,1
PAQUIBATO (POB.),2020-04-01,MURDER,2
CALINAN (POB.),2020-04-01,CYBER LIBEL,2
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2020-04-01,ILLEGAL POSSESSION OF FIREARM,2
PANALUM,2020-04-01,ROBBERY,6
BARANGAY 14-B,2020-04-01,CYBER LIBEL,3
"LOS AMIGOS (BRGY IS NOW UNDER PS 20, DCPO)",2020-04-01,HACKING,4
TUGBOK (POB.),2020-04-01,COMPUTER FRAUD,3
"TOMAS MONTEVERDE, SR. (BRGY IS NOW UNDER PS 18, DCPO)",2020-04-01,THEFT,5
BUHANGIN (POB.),2020-04-01,RAPE,5
SALUMAY,2020-04-01,RAPE,2
MALAGOS,2020-04-01,DISTURBANCE,2
FATIMA (BENOWANG),2020-04-01,MURDER,5
BANTOL,2020-04-01,COMPUTER FRAUD,1
BARANGAY 23-C,2020-05-01,RAPE,6
TAMBOBONG,2020-05-01,UNAUTHORIZED ACCESS,1
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2020-05-01,ILLEGAL POSSESSION OF FIREARM,2
"PACIANO BANGOY (BRGY IS NOW UNDER PS 18, DCPO)",2020-05-01,ILLEGAL POSSESSION OF FIREARM,3
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2020-05-01,THREATS,5
BARANGAY 14-B,2020-05-01,HACKING,2
BUNAWAN (POB.),2020-05-01,THEFT,4
"BAGO APLAYA (BRGY IS NOW UNDER PS 17, DCPO)",2020-05-01,ILLEGAL DRUGS,3
SALOY,2020-05-01,VANDALISM,6
BARANGAY 17-B,2020-05-01,DRUNK DRIVING,3
CABANTIAN,2020-05-01,DRUNK DRIVING,2
"WAAN (BRGY UNDER ps 13, DCPO)",2020-05-01,MURDER,6
"MAGTUOD (BRGY IS NOW UNDER ps 16, DCPO)",2020-05-01,RAPE,7
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2020-05-01,ROBBERY,2
LIZADA,2020-05-01,ILLEGAL GAMBLING,4
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2020-05-01,THREATS,6
BARANGAY 2-A (POB.),2020-05-01,ILLEGAL GAMBLING,6
MAPI-ILA,2020-05-01,ILLEGAL POSSESSION OF FIREARM,7
TALOMO RIVER,2020-05-01,ONLINE SCAM,2
"MAA (BRGY IS NOW UNDER ps 16, DCPO)",2020-05-01,ILLEGAL GAMBLING,4
DALIAO,2020-05-01,CYBER LIBEL,3
BANTOL,2020-05-01,ILLEGAL POSSESSION OF FIREARM,2
BARANGAY 2-A (POB.),2020-05-01,CYBER LIBEL,1
TUGBOK (POB.),2020-05-01,ILLEGAL POSSESSION OF FIREARM,5
LASANG,2020-05-01,THREATS,6
BARANGAY 5-A (POB.),2020-05-01,RAPE,2
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2020-05-01,DATA BREACH,3
MABUHAY,2020-05-01,THREATS,4
LASANG,2020-05-01,ILLEGAL GAMBLING,5
NEW VALENCIA,2020-05-01,PHYSICAL INJURY,7
BARANGAY 32-D,2020-05-01,DISTURBANCE,2
MARAPANGI,2020-05-01,ILLEGAL GAMBLING,7
DALIAO,2020-05-01,ILLEGAL POSSESSION OF FIREARM,4
TORII (POB.),2020-05-01,ILLEGAL GAMBLING,6
BARANGAY 11-A,2020-05-01,THREATS,4
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2020-05-01,UNAUTHORIZED ACCESS,2
"DUTERTE (BRGY IS NOW UNDER PS 18, DCPO)",2020-05-01,DRUNK DRIVING,6
"INDANGAN (BRGY UNDER PS 13, DCPO)",2020-05-01,IDENTITY THEFT,3
MULIG,2020-05-01,ONLINE SCAM,1
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",2020-05-01,ILLEGAL GAMBLING,6
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",2020-05-01,COMPUTER FRAUD,4
FATIMA (BENOWANG),2020-05-01,MURDER,4
"BALIOK (BRGY IS NOW UNDER PS 17, DCPO)",2020-05-01,HACKING,4
"BALENGAENG (BRGY IS NOW UNDER PS 20, DCPO)",2020-05-01,COMPUTER FRAUD,3
VICENTE HIZON SR.,2020-05-01,DRUNK DRIVING,4
BANGKAS HEIGHTS,2020-05-01,ONLINE SCAM,1
TUGBOK (POB.),2020-05-01,DRUNK DRIVING,6
BARANGAY 38-D (OB.),2020-05-01,ILLEGAL DRUGS,3
"BAGO GALLERA (BRGY IS NOW UNDER PS 17, DCPO)",2020-05-01,IDENTITY THEFT,4
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2020-05-01,RAPE,5
MALAGOS,2020-05-01,ILLEGAL DRUGS,4
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2020-05-01,DRUNK DRIVING,2
"SAN ANTONIO (BRGY IS NOW UNDER PS 18, DCPO)",2020-05-01,IDENTITY THEFT,3
MALABOG,2020-05-01,VANDALISM,2
CATALUNAN GRANDE,2020-05-01,DRUNK DRIVING,4
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-05-01,THEFT,7
VICENTE HIZON SR.,2020-05-01,MURDER,7
"CATIGAN (BRGY IS NOW UNDER ps 19, DCPO)",2020-05-01,ROBBERY,7
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2020-05-01,ROBBERY,7
"CATALUNAN PEQUENO (BRGY IS NOW UNDER ps 17, DCPO)",2020-05-01,COMPUTER FRAUD,3
TACUNAN,2020-05-01,IDENTITY THEFT,1
SANTO NINO,2020-06-01,ILLEGAL POSSESSION OF FIREARM,6
WANGAN,2020-06-01,HACKING,3
MARAPANGI,2020-06-01,ONLINE SCAM,3
BANTOL,2020-06-01,DISTURBANCE,6
ILANG,2020-06-01,VANDALISM,2
DALIAO,2020-06-01,ILLEGAL DRUGS,7
TACUNAN,2020-06-01,MURDER,6
CARMEN,2020-06-01,ILLEGAL POSSESSION OF FIREARM,6
"BAO ESCUELA (BRGY IS NOW UNDER PS 20, DCPO)",2020-06-01,ILLEGAL GAMBLING,4
BAGANIHAN,2020-06-01,THEFT,6
SUBASTA,2020-06-01,VANDALISM,4
SALAPAWAN,2020-06-01,ILLEGAL DRUGS,2
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",2020-06-01,PHYSICAL INJURY,7
"CENTRO (SAN JUAN) (BRGY IS NOW UNDER PS 18, DCPO)",2020-06-01,ONLINE SCAM,1
FATIMA (BENOWANG),2020-06-01,DRUNK DRIVING,2
EDEN,2020-06-01,CYBER LIBEL,3
TIBUNGCO,2020-06-01,ONLINE SCAM,1
"BARANGAY 10-A (BRGY UNDER ps 14, DCPO)",2020-06-01,UNAUTHORIZED ACCESS,4
"BARANGAY 8-A (POB.) (BRGY UNDER ps 14, DCPO)",2020-06-01,IDENTITY THEFT,2
BARANGAY 17-B,2020-06-01,ILLEGAL POSSESSION OF FIREARM,2
BARANGAY 28-C,2020-06-01,COMPUTER FRAUD,4
"TIBULOY (BRGY IS NOW UNDER PS 19, DCPO)",2020-06-01,DRUNK DRIVING,5
TORII (POB.),2020-06-01,UNAUTHORIZED ACCESS,2
"AGDAO PROPER (BRGY IS NOW UNDER PS 18, DCPO)",2020-06-01,DATA BREACH,3
"MANUEL GUIANGA (BRGY IS NOW UNDER PS 20, DCPO)",2020-06-01,CYBER LIBEL,3
BARANGAY 27-C,2020-06-01,HACKING,1
BARANGAY 18-B,2020-06-01,DRUNK DRIVING,6
BARANGAY 3-A (POB.),2020-06-01,ONLINE SCAM,2
"BARANGAY 19-B (POB.) (BRGY UNDER ps 14, DCPO)",2020-06-01,ILLEGAL DRUGS,6
GUMITAN,2020-06-01,UNAUTHORIZED ACCESS,4
